method,n,top1_hit_rate,top1_hit_rate_ci95_lo,top1_hit_rate_ci95_hi,ade_km_mean,ade_km_ci95_lo,ade_km_ci95_hi,rmse_km_mean,rmse_km_ci95_lo,rmse_km_ci95_hi,end_km_p50,end_km_p90,latency_ms_mean,latency_ms_ci95_lo,latency_ms_ci95_hi
DTW,50,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,53700.8,52327.3,55319.2
SUBSEQ_DTW,50,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,51000.6,50062.2,51875.4
FRECHET,50,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,52654.4,51588.0,53682.4
EUCLIDEAN,50,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,31119.8,30611.1,31645.2
CONSENSUS,50,0.000,0.000,0.000,246.870,160.657,362.720,273.843,183.105,396.182,243.078,699.261,9385.5,4646.3,15151.9
