method,n,top1_hit_rate,top1_hit_rate_ci95_lo,top1_hit_rate_ci95_hi,ade_km_mean,ade_km_ci95_lo,ade_km_ci95_hi,rmse_km_mean,rmse_km_ci95_lo,rmse_km_ci95_hi,end_km_p50,end_km_p90,latency_ms_mean,latency_ms_ci95_lo,latency_ms_ci95_hi
DTW,5,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SUBSEQ_DTW,5,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FRECHET,5,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EUCLIDEAN,5,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,62595.9,62595.9,62595.9
CONSENSUS,5,0.000,0.000,0.000,271.936,228.786,315.087,331.493,303.095,359.891,479.729,491.238,20750.6,16550.9,24950.4
