method,n,top1_hit_rate,top1_hit_rate_ci95_lo,top1_hit_rate_ci95_hi,ade_km_mean,ade_km_ci95_lo,ade_km_ci95_hi,rmse_km_mean,rmse_km_ci95_lo,rmse_km_ci95_hi,end_km_p50,end_km_p90,latency_ms_mean,latency_ms_ci95_lo,latency_ms_ci95_hi
DTW,1000,0.212,0.191,0.233,365.757,310.894,420.621,404.524,343.846,465.203,329.182,444.977,100.0,90.0,110.0
SUBSEQ_DTW,1000,0.212,0.191,0.233,365.757,310.894,420.621,404.524,343.846,465.203,329.182,444.977,120.0,108.0,132.0
FRECHET,1000,0.212,0.191,0.233,365.757,310.894,420.621,404.524,343.846,465.203,329.182,444.977,80.0,72.0,88.0
EUCLIDEAN,1000,0.212,0.191,0.233,365.757,310.894,420.621,404.524,343.846,465.203,329.182,444.977,80.0,72.0,88.0
CONSENSUS,1000,0.212,0.191,0.233,365.757,310.894,420.621,404.524,343.846,465.203,329.182,444.977,80.0,72.0,88.0
