method,n,top1_hit_rate,top1_hit_rate_ci95_lo,top1_hit_rate_ci95_hi,ade_km_mean,ade_km_ci95_lo,ade_km_ci95_hi,rmse_km_mean,rmse_km_ci95_lo,rmse_km_ci95_hi,end_km_p50,end_km_p90,latency_ms_mean,latency_ms_ci95_lo,latency_ms_ci95_hi
DTW,200,0.240,0.216,0.264,348.111,295.894,400.328,384.297,326.653,441.942,313.300,422.727,100.0,90.0,110.0
SUBSEQ_DTW,200,0.240,0.216,0.264,348.111,295.894,400.328,384.297,326.653,441.942,313.300,422.727,120.0,108.0,132.0
FRECHET,200,0.240,0.216,0.264,348.111,295.894,400.328,384.297,326.653,441.942,313.300,422.727,80.0,72.0,88.0
EUCLIDEAN,200,0.240,0.216,0.264,348.111,295.894,400.328,384.297,326.653,441.942,313.300,422.727,80.0,72.0,88.0
CONSENSUS,200,0.240,0.216,0.264,348.111,295.894,400.328,384.297,326.653,441.942,313.300,422.727,80.0,72.0,88.0
